key	expression	display_only_active_effects	always_show_display_text
tiger_court_military_passive_1	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_military").Total >= 1 && Owner.ModelPooledResourceContext("wh3_cp1_cth_court_military").Total <= 8	true	true
tiger_court_military_passive_3	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_military").Total >= 17 && Owner.ModelPooledResourceContext("wh3_cp1_cth_court_military").Total <= 24	false	true
tiger_court_military_passive_4	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_military").Total >= 25 && Owner.ModelPooledResourceContext("wh3_cp1_cth_court_military").Total <= 32	false	true
tiger_court_military_passive_5	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_military").Total >= 33 && Owner.ModelPooledResourceContext("wh3_cp1_cth_court_military").Total <= 40	false	true
tiger_court_military_passive_from_t3	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_military").Total >= 17	false	true
tiger_court_spiritual_passive_1	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_spiritual").Total >= 1 && Owner.ModelPooledResourceContext("wh3_cp1_cth_court_spiritual").Total <= 8	true	true
tiger_court_spiritual_passive_3	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_spiritual").Total >= 17 && Owner.ModelPooledResourceContext("wh3_cp1_cth_court_spiritual").Total <= 24	false	true
tiger_court_spiritual_passive_4	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_spiritual").Total >= 25 && Owner.ModelPooledResourceContext("wh3_cp1_cth_court_spiritual").Total <= 32	false	true
tiger_court_spiritual_passive_5	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_spiritual").Total >= 33 && Owner.ModelPooledResourceContext("wh3_cp1_cth_court_spiritual").Total <= 40	false	true
tiger_court_spiritual_passive_from_t3	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_spiritual").Total >= 17	false	true
tiger_court_spiritual_passive_from_t3_hidden	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_spiritual").Total >= 17 && Region.IsAnyEnemyMilitaryForcePresent() == false && Region.IsAnyEnemyAgentPresent() == false	false	false
vampire_coven_concealment_actions_1	true	true	false
vampire_coven_concealment_actions_2	Province.IsFactionMilitaryForcePresent(Region.Owner) && Region.EntitySharedStateReadBool("coven_concealment_loss") == true	false	true
vampire_coven_concealment_actions_3	Region.EntitySharedStateReadBool("coven_concealment_loss") == true && (Province.IsFactionAgentPresent("champion", Region.Owner) || Province.IsFactionAgentPresent("dignitary", Region.Owner) || Province.IsFactionAgentPresent("engineer", Region.Owner) || Province.IsFactionAgentPresent("runesmith", Region.Owner) || Province.IsFactionAgentPresent("spy", Region.Owner) || Province.IsFactionAgentPresent("wizard", Region.Owner))	false	true
vampire_coven_concealment_actions_4	Province.Regions.Any((r) => r.IsAbandoned == true) || Province.Regions.Any((r) => r.Owner.RecordKey == "wh3_dlc29_vmp_neferata")	false	true
vampire_coven_concealment_blank	true	true	false
vampire_coven_concealment_level_0	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_nef_concealment").Total > 10	false	false
vampire_coven_concealment_level_1	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_nef_concealment").Total > 50	false	true
vampire_coven_concealment_level_10	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_nef_concealment").Total <= 100	false	true
vampire_coven_concealment_level_2	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_nef_concealment").Total > 100	false	true
vampire_coven_concealment_level_3	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_nef_concealment").Total > 120	false	true
vampire_coven_concealment_level_4	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_nef_concealment").Total > 140	false	true
vampire_coven_concealment_level_5	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_nef_concealment").Total < 80	false	true
vampire_coven_concealment_level_6	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_nef_concealment").Total < 60	false	true
vampire_coven_concealment_level_7	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_nef_concealment").Total < 40	false	true
vampire_coven_concealment_level_8	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_nef_concealment").Total < 20	false	true
vampire_coven_concealment_level_9	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_nef_concealment").Total < 10	false	true
vampire_coven_settlement_tier_3	Region.Settlement.PrimaryBuilding.Level <= 3	false	true
vampire_coven_settlement_tier_3a	Region.Settlement.PrimaryBuilding.Level >= 3	false	true
vampire_coven_settlement_tier_4	Region.Settlement.PrimaryBuilding.Level == 4	false	true
vampire_coven_settlement_tier_4a	Region.Settlement.PrimaryBuilding.Level >= 4	false	true
vampire_coven_settlement_tier_5	Region.Settlement.PrimaryBuilding.Level == 5	false	true
vampire_coven_settlement_tier_5a	Region.Settlement.PrimaryBuilding.Level == 5	false	true
wh3_cp1_IsRelics	Owner.RecordKeyIsOneOf("wh3_cp1_cth_tiger_warriors") && Region.HasResource("res_relics") == true	true	true
